Player,Player_id,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
Victor Wembanyama,wembavi01,41,24.6,10.9,3.7,47.7,35.8,84.3,56.2,24.5,3.7
Vince Williams Jr.,willivi01,3,5.3,3.7,3.0,36.8,12.5,25.0,39.5,3.8,-0.1
Vit Krejci,krejcvi01,35,6.6,2.4,2.5,43.5,37.0,70.4,55.8,10.6,1.1
Vlatko Čančar,cancavl01,4,2.3,2.0,0.0,57.1,50.0,-,64.3,7.7,0.0
Walker Kessler,kesslwa01,38,10.9,11.5,1.5,72.0,33.3,53.8,72.4,20.3,3.9
Wendell Carter Jr.,cartewe01,38,8.6,7.3,2.4,44.1,18.6,72.7,47.1,13.6,2.6
Wendell Moore Jr.,moorewe01,20,3.2,2.2,1.2,46.0,28.6,92.9,50.0,12.6,0.5
Xavier Tillman Sr.,tillmxa01,26,1.0,1.4,0.3,25.0,18.2,50.0,30.0,3.1,-0.1
Yuki Kawamura,kawamyu01,18,1.3,0.4,0.7,38.1,26.7,66.7,47.6,9.9,0.1
Yves Missi,missiyv01,47,8.7,8.1,1.4,55.1,0.0,65.1,55.1,15.3,2.5
Zaccharie Risacher,risacza01,43,11.3,3.5,1.2,42.0,31.1,69.4,48.6,11.0,0.6
Zach Collins,colliza01,36,4.6,2.8,1.4,46.2,30.4,88.6,51.5,14.5,1.1
Zach Edey,edeyza01,36,9.8,7.6,1.0,58.0,35.9,67.6,60.8,18.2,2.5
Zach LaVine,lavinza01,42,24.0,4.8,4.5,51.1,44.6,79.7,60.7,18.5,3.0
Zeke Nnaji,nnajize01,29,1.8,0.7,0.1,48.9,13.3,42.9,51.1,7.3,0.0
Ziaire Williams,willizi02,35,9.6,4.7,1.4,40.6,32.4,81.0,48.6,12.3,1.1
Zion Williamson,willizi01,14,22.9,8.0,5.0,51.3,18.2,64.7,51.7,24.8,0.8
